Id,Name,Latitude,Longitude,Altitude,Ownership,Type,admin3Name,admin3Pcod,admin2Name,admin2Pcod,admin1Name,admin1Pcod,City,Kebele,Status
1010595,Semha Health Center,13.501918200000000,39.599187399999998,2235.800000000000182,Public/Government,Health Center,Enderta,ET010602,South Eastern,ET0106,Tigray,ET01,,Semha,Approved
1086122,Semicho Drug Store,7.521528300000000,37.987657499999997,1905.000000000000000,Private for profit,Pharmacy,Shashogo,ET070204,Hadiya,ET0702,SNNP,ET07,Bonosha,Bonosha,Approved
1086139,Semina Pharmacy,13.469899399999999,39.451823800000000,2161.399902000000111,Private for profit,Pharmacy,Mekelle,ET010701,Mekelle,ET0107,Tigray,ET01,,,Approved
1040393,Seminawit kokob Drug Store,13.510048100000001,39.458479500000003,2035.000000000000000,Private for profit,Pharmacy,Mekelle,ET010701,Mekelle,ET0107,Tigray,ET01,,,Approved
1061412,Seminew Drug Store,7.040514100000000,38.472254900000003,1701.700000000000045,Private for profit,Pharmacy,Hawasa town,ET160018,Sidama,ET1600,Sidama,ET16,Hawassa,Hogane Wacho,Approved
1079739,Semir Drug Store,7.737511700000000,39.992578199999997,2461.210692999999992,Private for profit,Pharmacy,Bele Gesgar,ET040823,Arsi,ET0408,Oromia,ET04,BALE,"01",Approved
1081132,Semir Drugstore,7.979579800000000,36.210774700000002,2404.829999999999927,Private for profit,Pharmacy,Setema,ET040413,Jimma,ET0404,Oromia,ET04,Gatira,Gatira,Approved
1031663,Semira Drug Store,5.337245700000000,39.577353500000001,1495.000000000000000,Private for profit,Pharmacy,Negele town,ET041414,Guji,ET0414,Oromia,ET04,Negele Borena,"01",Approved
1029903,Semira Medium Clinic,9.032651000000000,38.755332299999999,2445.864803999999822,Private for profit,Clinic,Arada,ET140109,Region 14,ET1401,Addis Ababa,ET14,,"10",Approved
1077600,Semira Primary Clinic,10.658102700000001,39.160931900000001,2519.000000000000000,Private for profit,Clinic,Kelela,ET030413,South Wello,ET0304,Amhara,ET03,Liguama,"01 Liguama",Approved
1084561,Semira Primaryclinic,8.686557199999999,36.030162199999999,2266.500000000000000,Private for profit,Clinic,Meko,ET041618,Buno Bedele,ET0416,Oromia,ET04,Meko,"01",Approved
1065568,Semit Int.Drug Store,8.984466599999999,38.847513700000000,2311.794691000000057,Private for profit,Pharmacy,Lemi Kura,ET140111,Region 14,ET1401,Addis Ababa,ET14,,,Approved
1030601,Semit International Medium Clinic,8.984401200000002,38.848258999999999,2294.000000000000000,Private for profit,Clinic,Lemi Kura,ET140111,Region 14,ET1401,Addis Ababa,ET14,Addis Ababa,,Approved
1078076,Semnghe Drug Store,11.408812700000000,37.152046900000002,2031.000000000000000,Private for profit,Pharmacy,Mecha,ET030704,West Gojam,ET0307,Amhara,ET03,,Semnghe Merawi 03,Approved
1046132,Semo Awash Health Post,7.795156200000000,37.477224499999998,2494.000000000000000,Public/Government,Health Post,Yem SP Woreda,ET072401,Yem Special,ET0724,SNNP,ET07,,Somuawasho,Approved
1076294,Semogn Health Post,10.824932799999999,37.429281300000000,0.000000000000000,Public/Government,Health Post,Quarit,ET030706,West Gojam,ET0307,Amhara,ET03,,Semogn,Approved
1073983,Semrawit Drug Store,11.273170000000000,39.547173600000001,2729.500000000000000,Private for profit,Pharmacy,Kutaber,ET030403,South Wello,ET0304,Amhara,ET03,Kutaber,"01",Approved
1086702,Semret Health post,14.271405500000000,39.260924199999998,2388.000000000000000,Public/Government,Health Post,Bizet,ET010310,Eastern,ET0103,Tigray,ET01,Bizet,,Approved
1025908,Semsem Health Post,11.390300399999999,40.139335600000003,997.000000000000000,Public/Government,Health Post,Adar,ET020109,Awsi /Zone 1,ET0201,Afar,ET02,Chifra  City Administration,Semsem,Approved
1046204,Semu Health post,7.036093300000000,37.102741700000003,2469.000000000000000,Public/Government,Health Post,Mari Mansa,ET110408,Dawuro,ET1104,South West Ethiopia,ET11,,Samu,Approved
1079632,Semu'el Medium Clinic,8.501830500000002,40.023005400000002,2101.400000000000091,Private for profit,Clinic,Aseko,ET040802,Arsi,ET0408,Oromia,ET04,Aseko 01,"01",Approved
1078004,Semunesh Drug Store,12.844836900000001,37.366195500000003,1233.000000000000000,Private for profit,Pharmacy,Lay Armacho,ET031108,Central Gondar,ET0311,Amhara,ET03,Musebanb,Musebanb,Approved
1048753,Semuyi Health Post,7.246196100000000,35.307341000000001,1358.799999999999955,Public/Government,Health Post,Godere,ET120301,Majang,ET1203,Gambela,ET12,,,Approved
1001146,Sen pair Dental Medium Clinic,8.996253400000002,38.759201599999997,2331.699951000000056,Private for profit,Specialty Clinic,Kirkos,ET140106,Region 14,ET1401,Addis Ababa,ET14,,,Approved
1078420,Sena & Fenet Drug Store,9.061705500000000,38.495122000000002,2389.699951000000056,Private for profit,Pharmacy,Holeta town,ET042020,Finfine Special,ET0420,Oromia,ET04,Holeta,"02",Approved
